コンテキスト	条件	条件の説明	バリエーション	状態モデル
シナリオ構造管理	実行対象ディレクトリ規則	「_」始まりのディレクトリのみを実行対象として採用し、名前昇順に実行順を決定する。記述したディレクトリ構造そのものが実行定義となり、静的検証（stfw validate）と内蔵ランナーの実行対象列挙で機械的に解釈されるため、手書きの実行手順書を不要にする（ワークフロー定義（dig）の生成は廃止）	""	""
シナリオ構造管理	階層ディレクトリ判定	シナリオ・業務日付・プロセスの各ディレクトリは、scenario ルートからの深さとプロジェクト直下の stfw.yml の存在で判定する。scaffold 生成（stfw new）・静的検証（stfw validate）・プロセス実行の各コマンドで、実行位置が正しい階層かを判定し、誤った階層での操作を防ぐ	""	""
シナリオ構造管理	逐次実行・エラー時 Blocked	内蔵ランナーがスクリプトをファイル名昇順に逐次実行し、エラー発生（終了コード 0 以外）後の後続スクリプトは実行せず Blocked として記録し停止する。実行順序の保証とエラー時停止を担保し、テスト結果の再現性と失敗箇所の特定を可能にする（従来と同一仕様を内蔵ランナーが提供する）	終了コード	ステップ実行ステータス
実行管理	run 実行の前提条件	シナリオ実行は対象シナリオディレクトリが存在し、run 前静的検証を通過していること。digdag server の起動等の前準備は不要で、stfw run の 1 コマンドで実行を開始できる。実行できない状態での起動失敗や中途半端な実行を防ぐ	""	""
実行管理	run 前静的検証	stfw run の開始前に validate 相当の静的検証（ディレクトリ規約・プラグイン解決可否・config.yml・対象シナリオの存在チェック等を統合）を自動実行し、エラー時は実行を開始しない。残存する *.dig ファイルには不要である旨を警告する。規約違反のあるシナリオ構造による実行時失敗を事前に防ぐ	""	""
実行管理	dry-run の実行範囲	dry-run（stfw run --dry-run）は実タスク（execute / post_execute）をスキップし、setup → pre_execute → teardown を実行する。テスト対象環境に影響を与えずに実行経路と前後処理を本実行前に安全に確認する	実行モード（run_mode）	""
プロジェクト環境管理	プロジェクト再初期化禁止	stfw.yml が既に存在するディレクトリでは stfw init をエラーとする。既存プロジェクトの設定・シナリオをテンプレートで上書き破壊することを防ぐ（従来仕様を維持）	""	""
プロジェクト環境管理	server 設定の廃止警告	stfw.server.* 設定を含む stfw.yml の読み込み時に廃止警告を表示し、設定値は実行に影響させない。digdag server 廃止後も旧設定を残したプロジェクトが暗黙に誤動作せず、廃止を利用者に確実に伝える	""	""
プロジェクト環境管理	パスワード重複登録禁止	同一ホスト×ユーザーの資格情報ファイルが存在する場合は stfw secret set での登録・再登録は不可。参照時は存在必須。資格情報の意図しない上書きを防ぎ、登録済み情報の一意性を保つ	""	""
プロジェクト環境管理	暗号化キー再生成の抑止	暗号化キーペアが既に存在する場合は stfw secret keygen での生成は不可。--force 指定時のみ削除して再生成する。キー再生成により既存の暗号化済み資格情報が復号不能になる事故を防ぐ	""	""
プロジェクト環境管理	資格情報の旧形式移行	旧 S/MIME 形式の資格情報は読み込み専用でサポートし、stfw secret migrate で age (X25519) 形式へ一括変換する（旧ファイルは .bak 退避）。旧環境からの移行時に資格情報を失わず、平文経由の再登録を不要にする	資格情報暗号化方式	""
プロジェクト環境管理	設定の上書き順	プロジェクト設定はデフォルト（stfw 本体の内蔵デフォルト）→ プロジェクトの順、プラグイン設定は組込み → プロジェクト → シナリオ内 Process 設定の順に読込・上書きし、環境変数として全スクリプトへ公開する（STFW_HOME/config は廃止）。共通デフォルトを保ちながらプロジェクト・シナリオ単位の個別調整を可能にする	""	""
プロジェクト環境管理	プラグイン解決順	同名プラグインはプロジェクト（{proj}/plugins/）→ 組込み（配布物同梱。STFW_HOME 廃止に伴い配置変更）の順に解決し、プロジェクト側を優先する。プラグインへの env 契約（stfw_* / STFW_PROJ_DIR 系の環境変数公開）は維持する。組込みプラグインをプロジェクト側でカスタマイズ・差し替えできるようにする	プラグインスコープ	""
実行管理	シークレットマスキング	ログ出力時に環境変数 PASSWORD / TOKEN の値を [secret] に置換する（v1.0 でも従来仕様を維持）。実行ログを出力・確認するすべての場面で、資格情報を平文で扱わない原則を守り、ログ経由の漏えいを防ぐ	""	""
実行管理	run_id の採番・保持	run_id は _{YYYYMMDDHHMMSS}_{PID} 形式（従来形式を維持）で採番し実行コンテキストに保持する。attempt_id は存在せず、run_id のみで一括自動実行を一意に識別し、stfw status / stfw report / OTel トレースの基点とする	""	""
