業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
テスト環境準備業務	プロジェクト初期化フロー	""	プロジェクトディレクトリを作成し初期化する	""	プロジェクトを初期化する	情報	プロジェクト	""	""	stfw initでテンプレート一式（stfw.yml・config・sampleシナリオ）をプロジェクトディレクトリへ展開してプロジェクトを開始する（再初期化は禁止）	""
テスト環境準備業務	プロジェクト初期化フロー	""	プロジェクトディレクトリを作成し初期化する	""	プロジェクトを初期化する	情報	プロジェクト設定（stfw.yml）	""	""	""	""
テスト環境準備業務	プロジェクト初期化フロー	""	プロジェクトディレクトリを作成し初期化する	""	プロジェクトを初期化する	条件	プロジェクト再初期化禁止	""	""	""	""
テスト環境準備業務	プロジェクト初期化フロー	""	プロジェクトディレクトリを作成し初期化する	""	プロジェクトを初期化する	画面	プロジェクト初期化CLI	アクター	テスト実行者	""	提供者
テスト環境準備業務	プロジェクト初期化フロー	""	プロジェクト設定（stfw.yml）を編集する	""	""	""	""	アクター	テスト実行者	OTelエンドポイント・inventory・timezone・server設定等をプロジェクトに合わせて編集する。設定はデフォルト→プロジェクトの順に上書きされ、全スクリプトへ環境変数として公開される（システム外作業: エディタ）	提供者
テスト環境準備業務	プロジェクト初期化フロー	""	暗号化キーペアを生成する	""	暗号化キーを生成する	情報	暗号化キー	""	""	stfw gen-encrypt-keyでパスワード暗号化用のRSAキーペアを生成し、資格情報を平文で扱わない準備を整える	""
テスト環境準備業務	プロジェクト初期化フロー	""	暗号化キーペアを生成する	""	暗号化キーを生成する	情報	プロジェクト	""	""	""	""
テスト環境準備業務	プロジェクト初期化フロー	""	暗号化キーペアを生成する	""	暗号化キーを生成する	条件	暗号化キー再生成の抑止	""	""	""	""
テスト環境準備業務	プロジェクト初期化フロー	""	暗号化キーペアを生成する	""	暗号化キーを生成する	画面	暗号化キー生成CLI	アクター	環境管理者	""	提供者
テスト環境準備業務	プロジェクト初期化フロー	""	初期化されたプロジェクトで作業に着手する	""	""	""	""	アクター	テスト実行者	テンプレートとsampleシナリオが展開されたプロジェクトを受け取り、即座にシナリオ作成・実行の作業を開始できる	受益者
