業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	条件	run 終了コードの集約（0/3/6）	""	""	stfw run の終了コードは配下の実行ステータスから全 Success=0 / Warn あり（Error なし）=3 / Error あり=6 として集約され、CI では終了コードだけで「差分あり（Warn）」を検知できる	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	情報	実行コンテキスト	""	""	内蔵ランナーがrun/scenario/bizdate各階層のsetup/teardownを直接実行し（digdagからの呼び戻しは廃止）、実行ジャーナルへ開始・終了イベントを記録して階層実行ステータスをStarted→Success/Warn/Errorへ遷移させる。上位階層の実行ステータスは配下のError > Warn > Successの優先度で集約され、子にWarnがあれば親もWarnになる。run階層のteardownフックへ公開される環境変数stfw_run_statusは、Warnあり・ErrorなしのrunでWarnになる。bizdateのnode_startイベント時刻はプラグインenv契約（stfw_bizdate_start_ts等）として後続のプロセス実行へ公開される	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	条件	実行ステータス集約（Error > Warn > Success）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	プロセス	""	""	内蔵ランナーがプロセスをsetup→pre_execute→execute→post_execute→teardownの順に直接実行する（digdagからの呼び戻しは廃止）。プロセスはプロセスタイプに応じたプラグインとして実行され、scriptsのほか組込みプラグイン群（収集系 collectLog / collectFile、データストア系 exportXxx / importXxx / clearXxx、検証系 compare、実行系 invokeWeb / invokeRest、リモートアクセス系 sshExec / scpPut）により、1つの業務日付をArrange（準備）→Act（実行）→Collect（収集）→Assert（検証）のパイプラインとして人手を介さず反復できる。scriptsプラグインではscripts/配下をファイル名昇順に逐次実行し、リターンコード3（Warn）のステップはWarnとして記録して続行、Error時（リターンコード0・3以外。on_mismatch: error（既定）のcompare比較不一致によるステップ失敗を含む）は後続をBlockedとして停止し、ステップ実行ステータスをPending→Success/Warn/Error/Blockedへ遷移させる。compareプラグインは設定キーon_mismatch: error（既定）| warnで比較不一致時の扱い（Error停止 / Warn続行）を選択できる。実行系（invokeWeb / invokeRest）はActの結果をk6サマリ（evidence/summary.json）と人間可読なHTMLレポート（evidence/report.html）としてエビデンスに出力する。configチェーンの値中の${...}は実行環境の環境変数（run開始時にexportされたstfw.ymlのフラット化値を含む）を参照して展開され、共通identity（database / user）は${stfw_...}で参照できる	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	実行ステータス集約（Error > Warn > Success）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	順序保証・エラー時停止のもとで実行結果を得る	""	""	""	""	アクター	テスト実行者	指定したシナリオ群が業務日付順・連番順に自動実行され、データ準備（Arrange）・取引入力（Act）・エビデンス収集（Collect）・期待値比較（Assert）までが人手を介さず反復される。回帰テストモードでは途中Error（on_mismatch: error（既定）の比較不一致によるステップ失敗を含む）時に後続を実行せず停止するため、再現性と信頼性のあるテスト結果を得られる。機能変更の差分確認モードでは比較不一致等をWarnとして記録して最後まで実行を進められ、CIではstfw runの終了コード（全Success=0 / Warnあり・Errorなし=3 / Errorあり=6）で「差分あり」を検知できる	受益者
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	情報	OTel トレース（スパンツリー）	""	""	実行ジャーナル（journal.jsonl）のイベントの投影として、runをルートにscenario/bizdate/process/stepを子孫とするスパンツリーがOTLP受信先へ送信され、既存のオブザーバビリティ基盤（Jaeger/Grafana Tempo/Datadog等）でそのまま進捗・成否・所要時間を可視化・分析できる（送信先未設定時は送信せず、送信失敗は実行を失敗させない）。WarnはOTelのスパンステータスに相当が無い（Ok / Error / Unsetのみ）ため、スパンステータスOk + stfwのstatus属性（Warn）として投影される（Errorは従来どおりスパンステータスError）	""
テスト結果確認業務	実行結果監視・確認フロー	""	statusで実行状況を確認する	""	実行状況を確認する	情報	実行ジャーナル（journal.jsonl）	""	""	stfw status [run_id]で実行ジャーナルをリプレイし、階層ツリーと各階層・ステップのステータスを表示する（digdag Web UI・ログ追従（run -f）・attempt URL案内による確認は廃止）。Warnステータスは黄系の色で表示される。旧バージョンのrunのジャーナル（Warnなし）が混在してもエラーなく表示される	""
テスト結果確認業務	実行結果監視・確認フロー	""	statusで実行状況を確認する	""	実行状況を確認する	条件	Warn ステータスの後方互換（旧ジャーナル混在）	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	HTMLレポートで実行結果を閲覧する	""	HTMLレポートを生成する	情報	HTML レポート	""	""	stfw report [run_id]で実行ジャーナルから静的HTMLレポート（.stfw/reports/にindex + run詳細）を生成する。実行中もprocess終了ごとに増分再生成され、Docker Compose構成ではnginxがreports共有volumeを配信し、ブラウザ（http://localhost:8080）で準リアルタイムに閲覧できる。Warnステータスは黄系の色で表示され、どのシナリオ・どのプロセスでWarn（比較NG）が発生したかを一覧で鳥瞰できる（「比較NGの鳥瞰」ビュー）。旧バージョンのrunのジャーナル（Warnなし）が混在しても再生成は壊れない。run開始時のハウスキープで保存期間を過ぎたHTMLレポート（.stfw/reports/runs/{run_id}.html）は物理削除され、削除に伴いレポートindexが再生成される（削除済みrunはindexに残らない）	""
