コンテキスト	情報	属性	関連情報	状態モデル	バリエーション	説明
プロジェクト環境管理	stfw 本体	配布形態（マルチプラットフォームバイナリ: linux/darwin × amd64/arm64 + windows/amd64、Docker image（ghcr.io）、compose.yaml（stfw + nginx））、Docker image タグ構成（最小構成 / 依存全部入り（例: stfw:full））、VERSION、内蔵ランナー、組込みプラグイン群、内蔵デフォルト設定	プラグイン、プロジェクト	""	対応 OS 種別、Docker イメージ構成	配布物（バイナリ / Docker image / compose.yaml）の配置のみで各ホストに用意されるシナリオテスト実行基盤そのもの（Go 単一バイナリ）を管理するため。JVM / Python 2 / Ruby 等のランタイムや依存モジュールは不要で、STFW_HOME（配布ディレクトリ）概念は廃止。対応プラットフォームは対応 OS 種別で管理する。Docker イメージは既存の最小構成に加えて、プラグインのランタイム依存（k6・mysql/psql クライアント・ssh/scp 等）全部入りのタグ（例: stfw:full）を提供する
プロジェクト環境管理	プロジェクト	プロジェクトディレクトリ（stfw.yml の存在で識別・上位探索）、config/、plugins/、scenario/、.stfw/（runs / reports 等の内部データ）	stfw 本体、プロジェクト設定（stfw.yml）、シナリオ、インベントリ、暗号化キー、パスワード、プラグイン、実行ログ	""	""	stfw init で開始されるシナリオテストの管理単位。stfw.yml の存在で識別され、config・scenario・内部データを束ねるため（再初期化は禁止）
プロジェクト環境管理	プロジェクト設定（stfw.yml）	project_version、loglevel、inventory（参照ファイル名）、otel.endpoint（OTLP エクスポート先）、timezone、housekeep.retention（実行結果の保存期間）、共通設定値（例: db.database / db.user 等の共通 identity）	プロジェクト、インベントリ	""	ログレベル、OTel エクスポート設定、実行結果保存期間設定	ログレベル・inventory 参照・OTel エクスポート先等を保持し、デフォルト（stfw 本体の内蔵デフォルト）→ プロジェクトの順に上書きして全スクリプトへ環境変数として公開するため（STFW_HOME/config は廃止）。OTel エクスポート先は OTel 標準の環境変数（OTEL_EXPORTER_OTLP_ENDPOINT 等）も尊重する。実行結果の保存期間（stfw.housekeep.retention）を保持し、stfw run 開始時のハウスキープにおける実行結果削除の基準とする。stfw.server.* 設定は廃止され、読み込み時に廃止警告を表示する（設定値は実行に影響しない）。stfw run 開始時に stfw.yml（+ 同梱デフォルト）のフラット化結果を実行環境へ export する（v0.2 の export_yaml 互換）ため、各プロセスの config から ${stfw_...} で stfw.yml の設定値を参照できる。複数プロセスで共通の identity（database / user 等）を stfw.yml に集約すると、各プロセス config には固有値（テーブル名等）だけを書けば済む
プロジェクト環境管理	インベントリ	インベントリファイル名（環境単位。例: staging.yml）、グループ名（web/ap/db 等＋予約値 all）、ホスト一覧（ip または hostname）	プロジェクト、プロジェクト設定（stfw.yml）、パスワード、SSH サーバキー（known_hosts）、Process / Plugin 設定（config.yml）	""	ホストグループ	環境単位（例: staging）にテスト対象ホストをグループ（web/ap/db 等）で管理し、stfw inventory exists によるグループ存在確認・stfw inventory list によるホスト一覧取得（旧 --is-exist / --list と出力互換）に使うため。グループ名 all は全グループ横断の予約値。組み込みプラグインの収集先・接続先（収集系・データストア系・リモートアクセス系 sshExec / scpPut）はホストグループ名参照のみで指定される（プラグイン設定に接続情報を直接書かない）
プロジェクト環境管理	暗号化キー	秘密鍵・公開鍵（age (X25519) キーペア、config/encrypt/ 配下、プロジェクトに 1 組）	プロジェクト、パスワード	""	""	資格情報を age (X25519) で暗号化・復号するためのキーペア（プロジェクトに 1 組）を stfw secret keygen で生成・管理するため（再生成は --force 指定時のみ）
プロジェクト環境管理	パスワード	ホスト、ユーザー（ファイル名 {host}-{user}、config/passwd/ 配下）、暗号化済み文字列（password・token 等）、暗号化方式（age (X25519)。旧 S/MIME は読み込み専用）	プロジェクト、暗号化キー、インベントリ	""	資格情報暗号化方式	テスト対象ホストへの資格情報をホスト×ユーザー単位で stfw secret set / show により暗号化保管・参照し、平文保管を避けるため（重複登録は禁止）。旧 S/MIME 形式は読み込み専用でサポートし、stfw secret migrate で age 形式へ一括移行できる（旧ファイルは .bak 退避）。組み込みプラグインが収集先・接続先ホスト・データストアへ接続する際の資格情報としても既存機構のまま利用される（データストア系・リモートアクセス系 sshExec / scpPut プラグインは {host}-{user} を自動参照し、config.yml への直接記述は禁止）
プロジェクト環境管理	プラグイン	プラグイン名（process/{process_type}）、bin/、config.yml、template/、plugin.yml（メタデータ: requires = 前提コマンドのリスト。例: mysql, ssh, scp, k6）、スコープ（プロジェクト / 組込み（配布物同梱））、フェーズ（Arrange / Act / Collect / Assert）、env 契約（stfw_* / STFW_PROJ_DIR / stfw_bizdate_start_ts（RFC3339 形式）系）	stfw 本体、プロジェクト、プロセス、Process / Plugin 設定（config.yml）、カスタムプラグイン実装ガイド	""	プロセスタイプ、プラグインスコープ、プラグインフェーズ	プロセスタイプの実行方式を提供する拡張単位。組込みプラグイン群（scripts・収集系 collectLog / collectFile・データストア系 exportMysql / importMysql / clearMysql・exportPostgres / importPostgres / clearPostgres・exportRedis / importRedis / clearRedis・検証系 compare・実行系 invokeWeb / invokeRest・リモートアクセス系 sshExec / scpPut）が Arrange → Act → Collect → Assert 各フェーズの汎用部品を提供し、プロダクト固有の処理は利用者がカスタムプラグインとして組み込みプラグインを組み合わせて実装する 2 層構造とするため。stfw plugin list / install で管理し、プロジェクト → 組込みの解決順とプラグイン env 契約（stfw_* / STFW_PROJ_DIR 系の環境変数公開）を維持する。前提コマンドはメタデータファイル plugin.yml の requires としてランタイム依存宣言し、stfw validate と run 前静的検証がシナリオで使用するプロセスタイプの requires をコマンド存在チェックで検証する。実行系（invokeWeb / invokeRest）は Act 実行後に k6 の end-of-test サマリ（evidence/summary.json）と HTML レポート（evidence/report.html）を自プロセスディレクトリ配下の evidence/（gitignore 対象）へ出力する。プラグイン / プロセスの config チェーン（プラグイン既定 → プロジェクト config/plugins/process/{type}/ → プロセス config/config.yml）の値中の ${VAR} は実行環境の環境変数を参照して展開され、run 開始時に export された stfw.yml のフラット化値を ${stfw_...} で参照できる
プロジェクト環境管理	SSH サーバキー（known_hosts）	対象ホスト、SSH サーバ公開鍵、known_hosts ファイル	インベントリ	""	""	テスト対象ホストへのリモート適用に先立ち、stfw ssh trust <host|group> で SSH サーバキーを known_hosts へ登録（旧キー削除＋新キー登録、inventory グループ指定で一括登録）し、接続確認の手間と中間者リスクを避けるため（旧実装で未配線だった機能の正式コマンド化）。組み込みプラグイン（collectLog / collectFile・リモートアクセス系 sshExec / scpPut）の scp / ssh 接続でも既存機構のまま利用される
シナリオ構造管理	シナリオ	シナリオ名（scenario/{name} ディレクトリ）、metadata.yml	プロジェクト、業務日付、メタ情報（metadata.yml）、実行（run）、OTel トレース（スパンツリー）、シナリオ spec（scenario.yml）、シナリオドキュメント（scenario.md）	""	""	業務日付をまたぐ一連の業務処理を記述するテストの最上位単位（scenario/{name} ディレクトリ）を識別・管理するため。記述したディレクトリ構造そのものが実行定義となる（ワークフロー定義（dig）の生成・管理は廃止）。stfw scenario reverse でツリーから spec（<name>.yml）・ドキュメント（<name>.md）を生成し、stfw scaffold で spec からツリーを生成・差分同期（--sync）できる（往復可逆）
シナリオ構造管理	業務日付	ディレクトリ名（_{seq}_{bizdate}）、seq（実行順）、bizdate（YYYYMMDD）、metadata.yml	シナリオ、プロセス、メタ情報（metadata.yml）、OTel トレース（スパンツリー）	""	""	シナリオ内でテストを日付単位に区切って進行させる単位（_{seq}_{bizdate}、YYYYMMDD）を実行順つきで管理するため
