業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	実行（run）	""	""	stfw run <scenario-names...>でrun_id（_{YYYYMMDDHHMMSS}_{PID}）を採番し、run前静的検証（対象シナリオの存在チェック等を統合）の通過後に内蔵ランナーで実行を開始する。run開始時には保存期間（stfw.housekeep.retention）を過ぎた過去の実行結果（実行ジャーナル・HTMLレポート）を自動ハウスキープする。digdagプロジェクトのpush・server起動等の前準備は不要で、旧server start → run -fの2段階を1コマンドに統合	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	条件	実行結果ハウスキープ	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	実行ジャーナル（journal.jsonl）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	HTML レポート	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	プロセス	""	""	内蔵ランナーがプロセスをsetup→pre_execute→execute→post_execute→teardownの順に直接実行する（digdagからの呼び戻しは廃止）。プロセスはプロセスタイプに応じたプラグインとして実行され、scriptsのほか組込みプラグイン群（収集系 collectLog / collectFile、データストア系 exportXxx / importXxx / clearXxx、検証系 compare、実行系 invokeWeb / invokeRest、リモートアクセス系 sshExec / scpPut）により、1つの業務日付をArrange（準備）→Act（実行）→Collect（収集）→Assert（検証）のパイプラインとして人手を介さず反復できる。scriptsプラグインではscripts/配下をファイル名昇順に逐次実行し、エラー時（compareの比較不一致によるステップ失敗を含む）は後続をBlockedとして停止、ステップ実行ステータスをPending→Success/Error/Blockedへ遷移させる	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	sshExec のリモートスクリプト一括実行	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	scpPut の原子的配置	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	プラグインのランタイム依存宣言と存在チェック	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	イベント	リモートスクリプト一括実行（ssh）	外部システム	テスト対象ホスト群	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	イベント	ローカルファイル原子的配置（scp）	外部システム	テスト対象ホスト群	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	HTMLレポートで実行結果を閲覧する	""	HTMLレポートを生成する	情報	HTML レポート	""	""	stfw report [run_id]で実行ジャーナルから静的HTMLレポート（.stfw/reports/にindex + run詳細）を生成する。実行中もprocess終了ごとに増分再生成され、Docker Compose構成ではnginxがreports共有volumeを配信し、ブラウザ（http://localhost:8080）で準リアルタイムに閲覧できる。run開始時のハウスキープで保存期間を過ぎたHTMLレポート（.stfw/reports/runs/{run_id}.html）は物理削除され、削除に伴いレポートindexが再生成される（削除済みrunはindexに残らない）	""
テスト結果確認業務	実行結果監視・確認フロー	""	HTMLレポートで実行結果を閲覧する	""	HTMLレポートを生成する	条件	実行結果ハウスキープ	""	""	""	""
