業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	実行（run）	""	""	stfw runで指定シナリオ群にrun_idを採番し、digdagプロジェクトをpushしてワークフローの実行を開始する（attempt_idを保存。run共通setup/teardownは-s/-tで手動実行も可）	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	シナリオ	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	ワークフロー定義（dig）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	実行コンテキスト	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	条件	run 実行の前提条件	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	条件	run_id / attempt_id の採番・保持	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	画面	シナリオ実行CLI	アクター	テスト実行者	""	提供者
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	イベント	ワークフロー実行依頼	外部システム	digdag	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	各階層のsetup/teardownを実行させる	""	階層setup/teardownを実行する	情報	実行コンテキスト	""	""	digdagからの呼び戻しでrun/scenario/bizdate各階層の前処理・後処理（処理時間記録・実行ジャーナルへの開始・終了イベント記録）を実行し、階層実行ステータスをStarted→Success/Errorへ遷移させる	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	各階層のsetup/teardownを実行させる	""	階層setup/teardownを実行する	情報	実行ジャーナル（journal.jsonl）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	各階層のsetup/teardownを実行させる	""	階層setup/teardownを実行する	情報	実行ログ	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	各階層のsetup/teardownを実行させる	""	階層setup/teardownを実行する	条件	設定の上書き順	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	各階層のsetup/teardownを実行させる	""	階層setup/teardownを実行する	画面	階層前後処理CLI	アクター	テスト実行者	""	提供者
シナリオ実行業務	シナリオ一括自動実行フロー	""	各階層のsetup/teardownを実行させる	""	階層setup/teardownを実行する	イベント	階層タスク呼び戻し	外部システム	digdag	""	""
