業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
シナリオ作成業務	テストシナリオ作成フロー	""	spec とドキュメントをリバース生成する	""	シナリオを spec・ドキュメントに変換する	情報	シナリオ spec（scenario.yml）	""	""	stfw scenario reverse <name> [-o, --out-dir <dir>] でシナリオツリー（規約ベースの記述＝正）から spec（<name>.yml）とドキュメント（<name>.md）をセット生成する（既定の出力先は docs/）。ドキュメントには各プロセスの group / type / description・要求トレーサビリティ（metadata.yml の requirement_specifications = どの要求をどの process が検証するか）・config サブツリーを表形式で出力する	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec とドキュメントをリバース生成する	""	シナリオを spec・ドキュメントに変換する	情報	シナリオドキュメント（scenario.md）	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec とドキュメントをリバース生成する	""	シナリオを spec・ドキュメントに変換する	情報	メタ情報（metadata.yml）	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec とドキュメントをリバース生成する	""	シナリオを spec・ドキュメントに変換する	情報	シナリオ	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec とドキュメントをリバース生成する	""	シナリオを spec・ドキュメントに変換する	条件	spec/doc 往復の可逆性	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec とドキュメントをリバース生成する	""	シナリオを spec・ドキュメントに変換する	画面	シナリオ往復生成CLI	アクター	シナリオ作成者	""	提供者
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	情報	シナリオ spec（scenario.yml）	""	""	stfw scaffold <spec.yml> [--sync] で spec からディレクトリ骨格（scenario > bizdate > process のディレクトリ・metadata.yml・config）を生成する。既存ツリーがある場合 --sync は差分同期（spec に有りツリーに無いディレクトリは追加、両方に有るディレクトリは維持、spec に無くなったディレクトリは削除）、--sync 無しはエラー終了。対話的 scaffold 生成（stfw new）とは別に spec ファイルを単一ソースとしたツリー生成・差分同期の入口を提供する	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	情報	シナリオ	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	情報	業務日付	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	情報	プロセス	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	情報	メタ情報（metadata.yml）	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	情報	Process / Plugin 設定（config.yml）	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	条件	scaffold の差分同期（--sync）	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	条件	spec/doc 往復の可逆性	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	spec からツリーを生成・差分同期する	""	spec からシナリオツリーを生成する	画面	spec scaffold生成CLI	アクター	シナリオ作成者	""	提供者
シナリオ作成業務	テストシナリオ作成フロー	""	spec を単一ソースとして版管理・共有・再生成する	""	""	""	""	アクター	シナリオ作成者	spec（<name>.yml）とドキュメント（<name>.md）でシナリオ構造を単一ファイルとしてレビュー・共有し、そこからツリーを再生成できるため、版管理・移送が容易になる	受益者
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	プロジェクト設定（stfw.yml）	""	""	stfw run 開始時に stfw.yml（+ 同梱デフォルト）のフラット化結果を実行環境へ export する（v0.2 の export_yaml 互換）ため、後続の各プロセス config から ${stfw_...} で stfw.yml の設定値を参照できる	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	情報	プロセス	""	""	内蔵ランナーがプロセスをsetup→pre_execute→execute→post_execute→teardownの順に直接実行する（digdagからの呼び戻しは廃止）。プロセスはプロセスタイプに応じたプラグインとして実行され、scriptsのほか組込みプラグイン群（収集系 collectLog / collectFile、データストア系 exportXxx / importXxx / clearXxx、検証系 compare、実行系 invokeWeb / invokeRest、リモートアクセス系 sshExec / scpPut）により、1つの業務日付をArrange（準備）→Act（実行）→Collect（収集）→Assert（検証）のパイプラインとして人手を介さず反復できる。scriptsプラグインではscripts/配下をファイル名昇順に逐次実行し、エラー時（compareの比較不一致によるステップ失敗を含む）は後続をBlockedとして停止、ステップ実行ステータスをPending→Success/Error/Blockedへ遷移させる。実行系（invokeWeb / invokeRest）はActの結果をk6サマリ（evidence/summary.json）と人間可読なHTMLレポート（evidence/report.html）としてエビデンスに出力する。configチェーンの値中の${...}は実行環境の環境変数（run開始時にexportされたstfw.ymlのフラット化値を含む）を参照して展開され、共通identity（database / user）は${stfw_...}で参照できる	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	invoke エビデンス HTML レポート生成の優先順	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセスをプラグインで実行する	""	プロセスを実行する	条件	config の ${...} 環境変数展開（stfw.yml 値参照）	""	""	""	""
