業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
テスト環境準備業務	stfw導入フロー	""	配布物（バイナリ / Docker image / compose.yaml）を取得する	""	""	""	""	アクター	環境管理者	GitHub Releasesから対象プラットフォームのバイナリ（linux/darwin × amd64/arm64 + windows/amd64）を、またはghcr.ioからDocker image / compose.yaml（stfw + nginx）を取得する（システム外作業: curl・docker pull。installスクリプトと依存モジュール（dl.bintray.com）のダウンロードは廃止）	提供者
テスト環境準備業務	stfw導入フロー	""	stfwを実行パス配置またはコンテナ起動で利用可能にする	""	""	""	""	アクター	環境管理者	バイナリを実行パスに配置、またはDockerコンテナ / composeを起動してstfwコマンドを利用可能にする。追加のランタイム（JVM / Python 2 / Ruby）・依存モジュールは不要（システム外作業）	提供者
テスト環境準備業務	stfw導入フロー	""	導入済みホストでstfwの利用を開始する	""	""	""	""	アクター	テスト実行者	配布物の配置のみの最短手順で用意されたシナリオテスト実行基盤を受け取り、プロジェクト初期化以降の作業に着手する	受益者
テスト環境準備業務	プロジェクト初期化フロー	""	プロジェクトディレクトリを作成し初期化する	""	プロジェクトを初期化する	情報	プロジェクト	""	""	stfw initでテンプレート一式（stfw.yml・config・sampleシナリオ）をプロジェクトディレクトリへ展開してプロジェクトを開始する（再初期化は禁止）	""
テスト環境準備業務	プロジェクト初期化フロー	""	プロジェクトディレクトリを作成し初期化する	""	プロジェクトを初期化する	情報	プロジェクト設定（stfw.yml）	""	""	""	""
テスト環境準備業務	プロジェクト初期化フロー	""	プロジェクトディレクトリを作成し初期化する	""	プロジェクトを初期化する	条件	プロジェクト再初期化禁止	""	""	""	""
テスト環境準備業務	プロジェクト初期化フロー	""	プロジェクトディレクトリを作成し初期化する	""	プロジェクトを初期化する	画面	プロジェクト初期化CLI	アクター	テスト実行者	""	提供者
テスト環境準備業務	プロジェクト初期化フロー	""	プロジェクト設定（stfw.yml）を編集する	""	""	""	""	アクター	テスト実行者	OTelエンドポイント・inventory・timezone等をプロジェクトに合わせて編集する。設定はデフォルト（stfw本体の内蔵デフォルト）→プロジェクトの順に上書きされ、全スクリプトへ環境変数として公開される。stfw.server.*設定は廃止され読み込み時に廃止警告が表示される（システム外作業: エディタ）	提供者
テスト環境準備業務	プロジェクト初期化フロー	""	暗号化キーペアを生成する	""	暗号化キーを生成する	情報	暗号化キー	""	""	stfw secret keygenで資格情報暗号化用のage (X25519)キーペアを生成し、資格情報を平文で扱わない準備を整える（再生成は--force指定時のみ）	""
テスト環境準備業務	プロジェクト初期化フロー	""	暗号化キーペアを生成する	""	暗号化キーを生成する	情報	プロジェクト	""	""	""	""
テスト環境準備業務	プロジェクト初期化フロー	""	暗号化キーペアを生成する	""	暗号化キーを生成する	条件	暗号化キー再生成の抑止	""	""	""	""
テスト環境準備業務	プロジェクト初期化フロー	""	暗号化キーペアを生成する	""	暗号化キーを生成する	画面	暗号化キー生成CLI	アクター	環境管理者	""	提供者
