業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
テスト環境準備業務	接続情報管理フロー	""	環境別inventoryにテスト対象ホストグループを定義する	""	""	""	""	アクター	環境管理者	staging等の環境別inventoryファイルにweb/ap/db等のホストグループを定義する。組み込みプラグインの収集先・接続先はこのホストグループ名参照で指定される（システム外作業: エディタ）	提供者
テスト環境準備業務	接続情報管理フロー	""	inventory定義を確認する	""	テスト対象ホスト情報を参照する	情報	インベントリ	""	""	stfw inventory existsでホストグループの存在確認、stfw inventory listでホスト一覧取得を行い、定義内容を検証する（旧 --is-exist / --list と出力互換）	""
テスト環境準備業務	接続情報管理フロー	""	inventory定義を確認する	""	テスト対象ホスト情報を参照する	条件	inventory 全件指定	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	inventory定義を確認する	""	テスト対象ホスト情報を参照する	条件	プラグイン接続情報のグループ名参照	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	inventory定義を確認する	""	テスト対象ホスト情報を参照する	画面	インベントリ照会CLI	アクター	環境管理者	""	提供者
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	情報	パスワード	""	""	stfw secret setでホスト×ユーザー単位の資格情報をage (X25519)で暗号化保管し、stfw secret showで復号表示して登録内容を確認する（重複登録は禁止）。組み込みプラグインの収集先・接続先への接続資格情報も本機構で参照される	""
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	情報	暗号化キー	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	情報	インベントリ	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	条件	パスワード重複登録禁止	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	条件	シークレットマスキング	""	""	""	""
